school_id,school_name,country,admin1,admin2,lat,lon,urban_rural,sector,enrollment,altitude_m
128,JARDIN INFANTIL LITTLE GARDEN,CL,TPCA,IQUIQUE,,,Urbano,Privado,0,
129,LICEO SUPERIOR GABRIELA MISTRAL,CL,TPCA,IQUIQUE,-20.22109,-70.151443,Urbano,Privado,328,
130,COLEGIO NORTH COLLEGE,CL,TPCA,IQUIQUE,-20.223459,-70.144234,Urbano,Privado,338,
131,COLEGIO ESCASCE,CL,TPCA,IQUIQUE,-20.22464,-70.148178,Urbano,Privado,392,
132,COLEGIO BAJO MOLLE,CL,TPCA,IQUIQUE,-20.28974,-70.127434,Urbano,Privado,1870,
133,COLEGIO ADVENTISTA DE IQUIQUE,CL,TPCA,IQUIQUE,-20.22514,-70.148499,Urbano,Privado,728,
134,LICEO ATENEA,CL,TPCA,IQUIQUE,-20.21558,-70.154388,Urbano,Privado,339,
136,J. I. CAPULLITO,CL,TPCA,IQUIQUE,-20.215338,-70.13811,Urbano,Publico,0,
138,COLEGIO HERMANOS CARRERA,CL,TPCA,IQUIQUE,,,Urbano,Publico,0,
139,JARDIN INFANTIL CONEJITO,CL,TPCA,IQUIQUE,-20.214958,-70.15338,Urbano,Publico,0,
143,LICEO TRINITY COLLEGE,CL,TPCA,IQUIQUE,,,Urbano,Publico,0,
144,COLEGIO IQUIQUE YOUNG SCHOOL,CL,TPCA,IQUIQUE,-20.223631,-70.143044,Urbano,Privado,360,
145,HISPANO BRITANICO,CL,TPCA,IQUIQUE,,,Urbano,Publico,0,
147,COLEGIO DON BOSCO,CL,TPCA,IQUIQUE,,,Urbano,Publico,0,
148,IQUIQUE ENGLISH COLLEGE,CL,TPCA,IQUIQUE,,,Urbano,Publico,0,
150,LICEO AMERICAN COLLEGE,CL,TPCA,IQUIQUE,,,Urbano,Publico,0,
151,CINDERELLA S SCHOOL,CL,TPCA,IQUIQUE,,,Urbano,Publico,0,
154,ESCUELA BASICA FRONTERIZA,CL,TPCA,HUARA,-19.92428,-69.511124,Rural,Subvencionado,38,
156,ESCUELA PISAGUA,CL,TPCA,HUARA,-19.59798,-70.212967,Rural,Subvencionado,40,
158,ESCUELA CHIAPA,CL,TPCA,HUARA,-19.53726,-69.20697,Rural,Subvencionado,2,
159,ESCUELA JAINA,CL,TPCA,HUARA,-19.55468,-69.245956,Rural,Subvencionado,5,
160,ESCUELA PACHICA,CL,TPCA,HUARA,-19.8659,-69.432037,Rural,Subvencionado,49,
161,LICEO DE HUARA,CL,TPCA,HUARA,-19.99688,-69.772636,Rural,Subvencionado,503,
162,ESCUELA SIBAYA,CL,TPCA,HUARA,-19.7833,-69.1738,Rural,Subvencionado,53,
165,ESCUELA CHUSMIZA,CL,TPCA,HUARA,-19.683929,-69.188393,Rural,Subvencionado,2,
167,ESCUELA CAMINA,CL,TPCA,CAMIÃA,-19.3118,-69.424637,Rural,Subvencionado,157,
168,ESCUELA CUISAMA,CL,TPCA,CAMIÃA,-19.323589,-69.456703,Rural,Subvencionado,2,
169,ESCUELA QUISTAGAMA,CL,TPCA,CAMIÃA,-19.34207,-69.497017,Rural,Subvencionado,5,
